depth,min,max,median,wmean
0,-75.2,-55.6,-64.6,-64.6
0.75,-58.8,-42.2,-50.5,-50.4
1,-56.4,-35.6,-46.4,-46.2
1.25,-51.1,-31.9,-42.1,-41.8
1.5,-49.2,-24,-37.9,-37.4
1.75,-42.9,-18.5,-31.5,-31.1
2,-40.4,-6.4,-25.7,-24.9
2.25,-33.3,2.9,-16.7,-16.3
2.5,-30.3,20.7,-9.2,-7.8
2.75,-22.5,30.3,0.5,1.6
3,-19.6,48.6,8.7,10.5
3.25,-11.4,61.5,19.8,21.5
3.5,-7.5,84,29.6,32.6
3.75,2,97.3,41.9,44.5
4,5.6,121.1,52.1,55.7
4.25,15.9,138.7,66.6,70.2
4.5,21.5,168.8,79.7,84.6
4.75,31.9,185.1,95.4,99.3
5,37.1,214.1,108.2,113.1
5.25,49.9,228.4,122.8,127.6
5.5,56.1,254.6,136.3,141.9
5.75,67.8,267.2,150.9,156.5
6,74.7,288.2,166.1,171.1
6.25,89.3,306.5,184.4,188.4
6.5,98,333.1,200.6,205.6
6.75,114.3,351.5,219.8,224
7,121.9,383.1,237.2,242.5
7.25,140.4,398.5,256.6,261.5
7.5,149.7,424.9,275.8,280.4
7.75,168.2,439.7,296.2,299.2
8,179.8,466.3,315.6,318.1
8.25,201.2,478.2,334.3,336.5
8.5,213.1,499.7,353.8,355.3
8.75,232.3,514.3,373.9,374.5
9,245.5,533.3,393.5,393.8
9.25,267.2,547.1,411.3,412
9.5,281.8,567.1,429.8,430.2
9.75,307,579.1,449.3,449
10,321.3,598.4,468.9,467.8
10.25,348.9,611.7,487.3,486.6
10.5,365.3,632.6,507,505.6
10.75,397.6,641.5,523.9,524
11,416.1,658.4,542.5,542.4
11.25,449.2,665.9,557.8,560.8
11.5,469.3,681.9,574.8,579.4
11.75,482.4,682.4,580.5,587
12,550.5,696.3,597.8,614.4
12.25,550.9,696.9,598.3,615
12.5,551.5,697.3,598.8,615.5
12.75,551.6,697.4,598.9,615.7
13.25,552.6,701,600.6,617.7
13.75,552.8,701.1,600.9,618
14,552.9,701.1,601,618.1
14.25,552.8,701.3,601,618.2
14.5,553.3,701.4,601.1,618.3
14.75,553.3,701.7,601.3,618.5
15,553.5,701.8,601.4,618.6
15.25,553.6,701.9,601.5,618.7
15.5,553.7,702,601.6,618.8
15.75,553.8,702.1,601.8,619
16,553.8,702.1,602,619.1
16.25,554.3,702.5,602,619.2
16.5,554.3,702.7,602.1,619.4
16.75,554.3,702.7,602.3,619.5
17,554.4,702.8,602.5,619.6
17.25,554.6,702.9,602.5,619.7
17.5,554.6,702.9,602.6,619.8
17.75,554.9,703.2,602.8,619.9
18,555.2,703.3,602.9,620.1
18.25,555.3,703.4,603,620.2
18.5,555.5,703.5,603.1,620.3
18.75,555.5,703.7,603.2,620.4
19,555.7,703.8,603.4,620.6
19.25,555.7,704.1,603.5,620.7
19.5,555.7,704.1,603.6,620.8
19.75,556.1,704.2,603.8,620.9
20,556.4,704.3,603.9,621.1
